id,value,type,connects,unlocks
1,2,start,"2,40",
2,9,start,"3,40",
3,6,start,"37,41,4",
4,7,start,"3,41,5",
5,3,start,"4,43,6",
6,12,start,"5,42",
7,4,start,"8,52",
8,5,start,"7,53,9",
9,8,start,"8,53,10",
10,10,start,"21,9,11",
11,11,start,"10,21,12",
12,MONSTER-12,,,
13,MONSTER-13,,,
14,MONSTER-14,,,
15,MONSTER-15,,,
16,MONSTER-16,,,
17,MONSTER-17,,,
18,MONSTER-18,,,
19,12,gem,46,
20,2,gem,"28,70",
21,2,gem,"51,10,11",
22,12,gem,"38,49",
23,12,gem,27,
24,2,gem,"23,27",
25,2,gem,"31,64,36",
26,12,gem,"11,39,35",
27,4,fist,"42,43,23,24",
28,12,fist,20,
29,2,fist,57,
30,8,fist,"59,60,17",MONSTER-15
31,6,fist,25,
32,10,fist,12,
33,,double,"67,38,68",
34,,double,"50,51",
35,,double,"26,56",
36,,double,"25,65,63",
37,,double,"3,44,41",
38,11,chest,"67,33,22",
39,3,chest,"26,54",
40,4,,"1,2,12",MONSTER-12
41,10,,"3,4,37,14",MONSTER-14
42,5,,"6,43,27",
43,6,,"5,42,27,14",MONSTER-14
44,7,,"12,37,45",
45,3,,"44,12,46",MONSTER-12
46,10,,"45,19,47",
47,9,,"46,49,48",
48,6,,"47,50,70",
49,3,,"22,47,15",MONSTER-15
50,11,,"48,34,15",MONSTER-15
51,7,,"34,13,21",
52,3,,"7,13",MONSTER-13
53,9,,"13,8,9",MONSTER-13
54,4,,"39,55,15",MONSTER-15
55,7,,"54,58,56",
56,9,,"35,55,57",
57,8,,"56,18,29",
58,9,,"55,59,18",
59,10,,"58,18,60",
60,6,,"30,59,17",
61,7,,"62,17",
62,8,,"63,16,61",MONSTER-16
63,6,,"62,16,36",
64,5,,"16,25",MONSTER-16
65,7,,"66,36",
66,5,,"14,65",
67,9,,"14,38,33",
68,10,,"33,69",
69,5,,"68,15",MONSTER-15
70,8,,"20,13,48",
